Team Id,Mission Time,Packet Count,Altitude,Pressure,Temperature,Voltage,GPS Time,GPS Latitude,GPS Longtitude,Speed,GPS Satellites,Humidity
0,0,0,0,90000,5,0,21.07.2018.02:30:12,0,0,0,0,0
2253,214,0,419.6,94445.3,33.3,4.8,29.9.2018.7:28:11,40.46,49.48,6,5,21.94
2253,215,1,418.8,94454.5,33.3,5.7,29.9.2018.7:28:11,40.46,49.48,6,5,21.66
2253,216,2,411.2,94553.1,33.3,5,29.9.2018.7:28:11,40.46,49.48,6,5,21.42
2253,217,3,397.9,94691.9,33.3,4.7,29.9.2018.7:28:11,40.46,49.48,6,5,21.34
2253,218,4,390.7,94774.1,33.3,4.6,29.9.2018.7:28:11,40.46,49.48,6,5,21.42
2253,219,5,388.7,94796.8,33.3,4.6,29.9.2018.7:28:11,40.46,49.48,6,5,21.47
2253,220,6,386.3,94824.4,33.3,4.7,29.9.2018.7:28:11,40.46,49.48,6,5,21.54
2253,221,7,384.5,94845,33.3,4.7,29.9.2018.7:28:11,40.46,49.48,6,5,21.61
2253,222,8,383,94859.6,33.3,4.7,29.9.2018.7:28:11,40.46,49.48,6,5,21.6
2253,223,9,382.4,94865,33.4,4.7,29.9.2018.7:28:11,40.46,49.48,6,5,21.63
2253,224,10,380.6,94893.4,33.4,4.6,29.9.2018.7:28:11,40.46,49.48,6,5,21.67
2253,225,11,378.4,94914.4,33.4,4.7,29.9.2018.7:28:11,40.46,49.48,6,5,21.7
2253,226,12,376.9,94930.6,33.4,4.6,29.9.2018.7:28:11,40.46,49.48,6,5,21.7
2253,227,13,375.7,94944.6,33.4,4.6,29.9.2018.7:28:11,40.46,49.48,6,5,21.67
2253,228,14,373.6,94966.2,33.5,4.6,29.9.2018.7:28:11,40.46,49.48,6,5,21.64
2253,229,15,370.8,95000.4,33.5,4.7,29.9.2018.0:0:0,0,49.48,6,5,21.67
2253,230,16,368.6,95025.6,33.5,4.5,29.9.2018.0:0:0,0,49.48,6,5,21.64
2253,231,17,365,95066.7,33.5,4.7,29.9.2018.0:0:0,0,49.48,6,5,21.57
2253,232,18,362.7,95093.3,33.5,4.6,29.9.2018.0:0:0,0,49.48,6,5,21.51
2253,233,19,361.3,95108.6,33.5,4.6,29.9.2018.0:0:0,0,49.48,6,5,21.5
2253,234,20,360.1,95122.1,33.5,4.7,29.9.2018.0:0:0,0,49.48,6,5,21.52
2253,235,21,357.8,95148.9,33.5,4.7,29.9.2018.0:0:0,0,49.48,6,5,21.54
2253,236,22,356.2,95167.3,33.5,4.7,29.9.2018.0:0:0,0,49.48,6,5,21.59
2253,237,23,354.7,95186.1,33.6,4.6,29.9.2018.0:0:0,0,49.48,6,5,21.61
2253,238,24,353.2,95203.1,33.6,4.7,29.9.2018.0:0:0,0,49.48,6,5,21.61
2253,242,28,343.4,95312.7,33.6,4.7,29.9.2018.7:28:58,40.47,49.48,6,5,21.46
2253,263,49,291.1,95918,33.9,6.2,29.9.2018.7:29:14,0,49.48,6,5,21.26
2253,271,57,266.7,96193.5,34,6.2,29.9.2018.7:29:14,0,49.48,6,5,21.35
2253,272,58,263.4,96231.5,34,6.4,29.9.2018.7:29:14,0,49.48,6,5,21.32
